"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2007","529.71","520.75","546.38","509.97","4.06B","1.72%"
"01/05/2007","520.75","487.50","527.38","484.50","4.32B","6.82%"
"01/04/2007","487.50","463.37","497.37","463.37","3.88B","5.21%"
"01/03/2007","463.37","436.83","469.99","423.04","4.71B","6.08%"
"01/02/2007","436.83","447.09","457.77","433.57","3.44B","-2.30%"
"01/01/2007","447.11","455.53","455.53","417.66","4.62B","-1.85%"
"01/12/2006","455.53","464.36","477.94","450.60","3.07B","-1.90%"
"01/11/2006","464.36","429.74","467.48","422.08","3.53B","8.06%"
"01/10/2006","429.74","411.38","440.58","388.17","4.29B","4.46%"
"01/09/2006","411.38","423.19","432.91","386.41","4.03B","-2.80%"
"01/08/2006","423.25","441.21","451.10","422.27","3.22B","-4.07%"
"01/07/2006","441.21","420.35","443.36","411.54","3.16B","4.96%"
"01/06/2006","420.35","411.95","423.88","374.22","3.85B","2.04%"
"01/05/2006","411.95","425.48","443.79","390.29","3.59B","-3.18%"
"01/04/2006","425.48","404.78","442.00","404.47","2.62B","5.11%"
"01/03/2006","404.78","389.80","413.24","378.32","3.08B","3.84%"
"01/02/2006","389.80","424.36","427.11","382.00","3.02B","-8.14%"
"01/01/2006","424.36","372.73","429.78","372.73","2.92B","13.85%"
"01/12/2005","372.73","370.95","393.35","367.27","2.45B","0.48%"
"01/11/2005","370.95","366.02","384.73","353.21","2.65B","1.35%"
"01/10/2005","366.02","403.96","407.44","341.44","3.23B","-9.39%"
"01/09/2005","403.96","381.11","412.17","380.60","2.58B","5.99%"
"01/08/2005","381.12","362.63","382.84","356.73","2.40B","5.10%"
"01/07/2005","362.63","343.07","368.87","343.07","2.00B","5.72%"
"01/06/2005","343.01","324.33","358.46","324.33","2.12B","5.78%"
"01/05/2005","324.28","319.97","328.80","298.45","2.20B","1.36%"
"01/04/2005","319.92","337.91","349.37","311.46","2.62B","-5.32%"
"01/03/2005","337.88","350.68","358.05","323.40","2.68B","-3.65%"
"01/02/2005","350.68","296.47","355.75","296.47","1.90B","18.29%"
"01/01/2005","296.47","288.63","297.70","276.08","1.73B","2.72%"
"01/12/2004","288.63","294.61","294.94","275.57","1.58B","-2.03%"
"01/11/2004","294.61","278.66","298.27","272.83","1.66B","5.72%"
"01/10/2004","278.66","276.95","290.75","273.47","1.59B","0.62%"
"01/09/2004","276.95","255.56","279.12","255.28","1.42B","8.37%"
"01/08/2004","255.56","259.15","262.41","245.00","1.38B","-1.39%"
"01/07/2004","259.15","250.82","260.04","249.37","1.16B","3.32%"
"01/06/2004","250.82","238.54","255.05","237.32","1.37B","5.15%"
"01/05/2004","238.54","238.31","245.84","230.52","1.36B","0.10%"
"01/04/2004","238.31","234.45","247.59","232.14","1.10B","1.65%"
"01/03/2004","234.45","236.04","241.76","224.34","1.28B","-0.67%"
"01/02/2004","236.04","226.12","237.66","222.15","959.60M","4.01%"
"01/01/2004","226.94","224.24","233.27","219.09","","1.25%"
"01/12/2003","224.14","198.10","225.38","197.73","","13.80%"
"01/11/2003","196.96","197.31","198.50","192.53","","-0.14%"
