"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2011","168.11","161.92","168.20","159.24","1.65B","3.83%"
"01/03/2011","161.92","162.25","165.75","154.91","2.11B","-0.21%"
"01/02/2011","162.26","161.03","162.85","159.25","1.61B","0.76%"
"01/01/2011","161.03","159.34","163.66","158.75","1.73B","1.06%"
"01/12/2010","159.34","155.08","160.24","155.01","1.64B","2.75%"
"01/11/2010","155.08","160.85","162.67","153.92","1.65B","-3.59%"
"01/10/2010","160.85","159.37","164.42","158.62","1.75B","0.93%"
"01/09/2010","159.37","155.34","160.95","155.34","1.80B","2.59%"
"01/08/2010","155.34","153.97","159.16","152.30","2.09B","0.89%"
"01/07/2010","153.97","143.44","158.39","141.86","1.87B","7.34%"
"01/06/2010","143.44","144.92","154.13","141.45","2.31B","-1.02%"
"01/05/2010","144.92","154.37","156.72","138.61","2.53B","-6.12%"
"01/04/2010","154.37","150.70","155.86","150.70","2.01B","2.44%"
"01/03/2010","150.70","147.14","153.47","147.14","1.96B","2.42%"
"01/02/2010","147.14","149.93","152.31","144.06","1.88B","-1.86%"
"01/01/2010","149.93","157.99","159.55","149.86","1.73B","-5.10%"
"01/12/2009","157.99","150.16","161.42","150.16","1.84B","5.21%"
"01/11/2009","150.16","144.15","151.75","142.56","1.96B","4.17%"
"01/10/2009","144.15","148.93","153.47","143.87","2.22B","-3.21%"
"01/09/2009","148.93","147.38","151.67","144.42","2.11B","1.05%"
"01/08/2009","147.38","147.13","150.90","144.06","1.80B","0.17%"
"01/07/2009","147.13","141.90","150.22","135.65","2.06B","3.69%"
"01/06/2009","141.90","135.00","142.98","134.03","2.30B","5.11%"
"01/05/2009","135.00","130.94","140.97","128.93","2.28B","3.10%"
"01/04/2009","130.94","130.39","134.95","127.79","2.16B","0.42%"
"01/03/2009","130.39","127.71","134.23","113.06","2.74B","2.10%"
"01/02/2009","127.71","146.71","153.19","125.62","2.19B","-12.95%"
"01/01/2009","146.71","147.93","154.79","140.00","2.02B","-0.82%"
"01/12/2008","147.93","151.66","151.66","135.77","2.06B","-2.46%"
"01/11/2008","151.66","148.06","153.39","131.75","2.25B","2.43%"
"01/10/2008","148.06","168.00","169.31","118.06","3.31B","-11.87%"
"01/09/2008","168.00","190.18","191.58","165.08","2.55B","-11.66%"
"01/08/2008","190.18","193.77","193.99","183.70","1.61B","-1.85%"
