"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2006","121.24","117.43","122.52","116.70","1.45B","3.24%"
"01/12/2005","117.43","121.96","123.53","117.21","1.21B","-3.71%"
"01/11/2005","121.96","116.25","123.98","115.48","1.39B","4.91%"
"01/10/2005","116.25","118.72","119.14","109.46","1.27B","-2.08%"
"01/09/2005","118.72","120.55","120.97","116.71","1.05B","-1.52%"
"01/08/2005","120.55","124.88","125.35","118.05","1.15B","-3.47%"
"01/07/2005","124.88","121.09","125.47","119.11","1.11B","3.13%"
"01/06/2005","121.09","119.56","122.52","119.10","1.14B","1.28%"
"01/05/2005","119.56","118.13","119.84","114.53","1.27B","1.21%"
"01/04/2005","118.13","117.98","120.28","114.40","1.39B","0.13%"
"01/03/2005","117.98","120.06","122.51","115.10","1.35B","-1.73%"
"01/02/2005","120.06","119.29","123.58","118.06","1.59B","0.65%"
"01/01/2005","119.29","129.10","130.17","117.71","1.75B","-7.60%"
"01/12/2004","129.10","126.07","131.26","126.07","1.74B","2.40%"
"01/11/2004","126.07","121.26","129.49","121.07","1.01B","3.97%"
"01/10/2004","121.26","120.18","125.43","118.23","1.30B","0.90%"
"01/09/2004","120.18","118.80","122.52","118.30","1.13B","1.16%"
"01/08/2004","118.80","117.46","119.34","114.31","1.18B","1.14%"
"01/07/2004","117.46","113.90","118.64","110.20","1.28B","3.13%"
"01/06/2004","113.90","110.55","114.97","109.45","1.31B","3.03%"
"01/05/2004","110.55","115.28","117.33","109.87","1.22B","-4.10%"
"01/04/2004","115.28","115.95","118.68","114.05","1.45B","-0.58%"
"01/03/2004","115.95","117.72","121.83","112.10","1.86B","-1.50%"
"01/02/2004","117.72","115.62","121.67","114.91","2.24B","1.98%"
"01/01/2004","115.43","111.25","119.26","111.11","","3.69%"
"01/12/2003","111.32","102.33","111.53","101.83","","8.85%"
"01/11/2003","102.27","103.77","104.56","98.40","","-1.26%"
"01/10/2003","103.58","99.20","103.76","97.58","","4.50%"
"01/09/2003","99.12","103.62","107.12","97.92","","-4.22%"
"01/08/2003","103.49","103.60","107.22","100.88","48.86M","0.00%"
"01/07/2003","103.49","110.27","114.26","101.99","1.26B","-6.13%"
"01/06/2003","110.25","106.96","113.69","106.34","1.35B","3.58%"
"01/05/2003","106.44","99.76","107.35","97.00","1.31B","6.71%"
"01/04/2003","99.75","91.61","100.92","86.90","1.44B","8.98%"
"01/03/2003","91.53","91.89","97.26","83.40","1.38B","-0.37%"
"01/02/2003","91.87","100.29","104.46","90.38","1.19B","-8.36%"
"01/01/2003","100.25","108.10","123.22","96.91","1.52B","-6.99%"
