"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2009","119.01","101.15","130.02","78.47","559.76M","17.66%"
"01/02/2009","101.15","123.98","134.87","91.61","364.58M","-18.41%"
"01/01/2009","123.98","168.56","172.39","108.29","269.64M","-26.55%"
"01/12/2008","168.79","169.95","183.99","139.71","223.33M","-0.68%"
"01/11/2008","169.95","209.13","221.76","115.97","272.11M","-18.73%"
"01/10/2008","209.13","270.67","277.36","172.70","339.33M","-22.74%"
"01/09/2008","270.68","285.59","307.78","230.30","425.91M","-5.22%"
"01/08/2008","285.59","289.39","305.16","263.08","219.51M","-1.31%"
"01/07/2008","289.39","270.71","309.84","225.63","356.83M","6.81%"
"01/06/2008","270.95","333.13","333.13","270.60","224.37M","-18.67%"
"01/05/2008","333.13","355.48","377.27","325.61","145.42M","-6.37%"
"01/04/2008","355.78","334.56","365.19","327.95","172.95M","6.34%"
"01/03/2008","334.56","345.16","368.55","302.82","220.91M","-3.07%"
"01/02/2008","345.16","389.71","397.50","343.65","150.94M","-11.43%"
"01/01/2008","389.71","391.82","394.06","328.07","213.93M","-0.60%"
"01/12/2007","392.08","415.88","428.92","382.28","128.85M","-5.73%"
"01/11/2007","415.89","451.83","451.83","377.45","183.44M","-8.05%"
"01/10/2007","452.30","461.48","483.99","431.51","109.93M","-1.99%"
"01/09/2007","461.49","452.46","476.95","435.80","81.44M","2.00%"
"01/08/2007","452.46","446.77","471.49","423.00","148.63M","1.26%"
"01/07/2007","446.82","487.51","496.12","446.38","92.54M","-7.95%"
"01/06/2007","485.41","506.99","509.93","481.76","67.81M","-4.26%"
"01/05/2007","506.99","497.29","510.92","494.21","61.95M","1.95%"
"01/04/2007","497.29","478.26","502.98","472.77","61.49M","3.98%"
"01/03/2007","478.27","482.42","491.61","458.28","71.80M","-0.86%"
"01/02/2007","482.42","498.33","510.28","476.28","52.30M","-3.28%"
"01/01/2007","498.79","495.06","501.55","488.60","51.73M","0.70%"
"01/12/2006","495.31","477.46","500.13","471.64","42.80M","3.74%"
"01/11/2006","477.46","476.18","486.44","468.57","43.34M","0.23%"
"01/10/2006","476.38","465.81","480.23","462.74","48.28M","2.26%"
